0 0.122
1 0.143
2 0.091
3 0.062
4 0.044
5 0.044
6 0.027
7 0.009
8 0.008
9 0.003
10 0.001
11 0.000
12 0.000
13 0.000
14 0.000
15 0.000
16 0.000
17 0.000
18 0.000
19 0.000
20 0.000
